feature,importance
has_license_info,0.059073668
amenity_has_dishwasher,0.0575635
instant_bookable_flag,0.05022844
host_listings_count,0.03514937
host_is_superhost_flag,0.031498753
amenities_count,0.025440704
room_type_encoded,0.020163283
host_total_listings_count,0.016369734
amenity_has_kitchen,0.015979081
number_of_reviews,0.015116844
log_number_of_reviews,0.014484058
listing_age_days,0.014336435
amenity_has_long_term_stays_allowed,0.013913799
recent_review_score,0.013706203
number_of_reviews_ltm,0.0136674
price_per_person,0.012856805
amenity_has_coffee_maker,0.01230531
property_type_encoded,0.010992762
availability_ratio,0.010212834
beds,0.009674725
host_response_rate,0.009280221
log_reviews_per_month,0.009257729
host_verifications_count,0.009106037
host_activity_score,0.009086714
days_since_last_review,0.009071525
amenity_score_family,0.009034929
bathrooms_numeric,0.008982205
occupancy_rate,0.008710377
reviews_growth_ratio,0.008557797
is_shared_bath,0.008525228
host_about_length,0.008462098
amenity_score_safety,0.008366327
amenity_has_dryer,0.008331954
amenity_has_pets_allowed,0.00831486
desc_embed_6,0.008195584
host_acceptance_rate,0.007825438
bedrooms,0.0077790217
amenity_has_wifi,0.007764846
neighborhood_embed_4,0.007754415
accommodates,0.0077509093
amenity_has_tv,0.0075936005
amenity_has_air_conditioning,0.0075756274
neighborhood_embed_3,0.007533577
reviews_per_month,0.007422795
log_price,0.007376066
neighborhood_embed_11,0.007228105
desc_embed_10,0.00721414
neighborhood_embed_19,0.0072015305
desc_embed_7,0.0071831136
neighborhood_embed_6,0.0071519003
neighborhood_embed_8,0.0071386024
neighborhood_embed_0,0.0071378383
desc_embed_9,0.007132411
neighbourhood_encoded,0.0071260906
desc_embed_4,0.007115866
desc_embed_16,0.007115201
desc_embed_0,0.0070698317
neighborhood_embed_1,0.0070115873
neighborhood_embed_2,0.007010775
distance_to_center_km,0.0070093027
neighborhood_embed_13,0.0070010773
neighborhood_embed_14,0.0069932006
desc_embed_1,0.00696587
desc_embed_18,0.006954891
neighborhood_embed_12,0.0069521
desc_embed_2,0.006924481
neighborhood_embed_9,0.006916054
neighborhood_desc_length,0.006901209
amenity_has_heating,0.006870801
amenity_has_elevator,0.006833427
description_length,0.0068237106
neighborhood_embed_10,0.0068183267
desc_embed_15,0.0068146056
neighborhood_embed_15,0.0067567565
neighborhood_embed_17,0.0067142625
desc_embed_12,0.0066672834
desc_embed_14,0.006664578
desc_embed_19,0.0066644256
neighborhood_embed_7,0.0066643762
desc_embed_17,0.0066602514
neighborhood_embed_16,0.006649761
neighborhood_embed_18,0.006636374
desc_embed_8,0.00663138
amenity_score_luxury,0.00662326
amenity_comfort_score,0.0066025094
amenity_has_washer,0.0065736226
desc_embed_11,0.006565856
desc_embed_5,0.0065550404
price_clean,0.0065258387
neighborhood_embed_5,0.0065198783
amenity_score_business,0.006512432
desc_embed_3,0.006510227
host_has_gov_id,0.006387656
desc_embed_13,0.0062249866
is_central,0.0046797246
amenity_has_balcony,0.0
amenity_has_parking,0.0
host_about_sentiment_compound,0.0
desc_sentiment_compound,0.0
neighborhood_sentiment_compound,0.0
recent_review_flag,0.0
text_sentiment_score,0.0
